section,line_item,fiscal_year,budgeted,actual
General Government,Selectboard Salary,2011,3150,3150
General Government,Selectboard Salary,2012,3150,3150
General Government,Selectboard Salary,2013,3150,
General Government,Selectboard Salary,2014,3150,
General Government,Selectboard Clerk,2011,18000,17984.26
General Government,Selectboard Clerk,2012,18270,18173
General Government,Selectboard Clerk,2013,18544,
General Government,Selectboard Clerk,2014,18989,
General Government,Advertising/Printing,2011,1500,1667.11
General Government,Advertising/Printing,2012,1500,2147
General Government,Advertising/Printing,2013,1700,
General Government,Advertising/Printing,2014,2300,
General Government,Discretionary Fund,2011,5000,4368.45
General Government,Discretionary Fund,2012,9000,8993
General Government,Discretionary Fund,2013,9000,
General Government,Discretionary Fund,2014,11000,
General Government,Legal Fees,2011,5000,348.33
General Government,Legal Fees,2012,3000,2365
General Government,Legal Fees,2013,3000,
General Government,Legal Fees,2014,3000,
General Government,Town Report,2011,4000,3660.03
General Government,Town Report,2012,4000,3523
General Government,Town Report,2013,3200,
General Government,Town Report,2014,4000,
General Government,VLCT Dues,2011,2478,2478
General Government,VLCT Dues,2012,2532,2592
General Government,VLCT Dues,2013,2577,
General Government,VLCT Dues,2014,2541,
General Government,County Tax,2011,15477,15477
General Government,County Tax,2012,12783,12783
General Government,County Tax,2013,14347,
General Government,County Tax,2014,15161,
General Government,CV Solid Waste,2011,5800,3630.9
General Government,CV Solid Waste,2012,3744,3738
General Government,CV Solid Waste,2013,3800,
General Government,CV Solid Waste,2014,1731,
General Government,CV Reg Planning Comm,2011,1968,1967.7
General Government,CV Reg Planning Comm,2012,1968,1968
General Government,CV Reg Planning Comm,2013,1818,
General Government,CV Reg Planning Comm,2014,1818,
General Government,Conservation Commission,2011,1000,186.47
General Government,Conservation Commission,2012,1000,101
General Government,Conservation Commission,2013,1000,
General Government,Conservation Commission,2014,1000,
General Government,Tree Warden,2011,500,0
General Government,Tree Warden,2012,100,0
General Government,Tree Warden,2013,100,
General Government,Tree Warden,2014,100,
General Government,Elections,2011,2300,873.48
General Government,Elections,2012,1000,435
General Government,Elections,2013,1000,
General Government,Elections,2014,400,
General Government,Total General Government,2011,66173,55791.73
General Government,Total General Government,2012,62047,59966
General Government,Total General Government,2013,63236,
General Government,Total General Government,2014,65190,
Town Insurances,Workers Comp,2011,12000,10099.5
Town Insurances,Workers Comp,2012,9314,7528
Town Insurances,Workers Comp,2013,8000,
Town Insurances,Workers Comp,2014,9000,
Town Insurances,Unemployment Comp,2011,1889,2192
Town Insurances,Unemployment Comp,2012,2492,2226
Town Insurances,Unemployment Comp,2013,1957,
Town Insurances,Unemployment Comp,2014,2000,
Town Insurances,Property & Casualty,2011,19253,17918.5
Town Insurances,Property & Casualty,2012,18000,14576
Town Insurances,Property & Casualty,2013,16000,
Town Insurances,Property & Casualty,2014,18000,
Town Insurances,Total Town Insurances,2011,33142,30210
Town Insurances,Total Town Insurances,2012,29806,24330
Town Insurances,Total Town Insurances,2013,25957,
Town Insurances,Total Town Insurances,2014,29000,
Employee Benefits,Social Security,2011,15164,16060.36
Employee Benefits,Social Security,2012,14800,15273
Employee Benefits,Social Security,2013,15906,
Employee Benefits,Social Security,2014,16700,
Employee Benefits,Medicare,2011,3547,3756.02
Employee Benefits,Medicare,2012,3500,3572
Employee Benefits,Medicare,2013,3720,
Employee Benefits,Medicare,2014,3900,
Employee Benefits,Retirement,2011,10764,10935.32
Employee Benefits,Retirement,2012,10741,10848
Employee Benefits,Retirement,2013,11222,
Employee Benefits,Retirement,2014,12421,
Employee Benefits,Life Insurance,2011,300,991.69
Employee Benefits,Life Insurance,2012,832,1392
Employee Benefits,Life Insurance,2013,860,
Employee Benefits,Life Insurance,2014,0,
Employee Benefits,Health Insurance,2011,25567,21375.39
Employee Benefits,Health Insurance,2012,36742,24366
Employee Benefits,Health Insurance,2013,33000,
Employee Benefits,Health Insurance,2014,35000,
Employee Benefits,Life Ins/LTD,2011,0,0
Employee Benefits,Life Ins/LTD,2012,939,0
Employee Benefits,Life Ins/LTD,2013,950,
Employee Benefits,Life Ins/LTD,2014,1900,
Employee Benefits,Total Employee Benefits,2011,55342,53118.78
Employee Benefits,Total Employee Benefits,2012,67554,55450
Employee Benefits,Total Employee Benefits,2013,65658,
Employee Benefits,Total Employee Benefits,2014,69921,
Administration,Clerk Salary,2011,37000,37014.9
Administration,Clerk Salary,2012,37555,37706
Administration,Clerk Salary,2013,38119,
Administration,Clerk Salary,2014,39088,
Administration,Office Staff Salary,2011,12754,12910.2
Administration,Office Staff Salary,2012,13000,12527
Administration,Office Staff Salary,2013,13578,
Administration,Office Staff Salary,2014,17085,
Administration,Lister Wages,2011,7500,7266.14
Administration,Lister Wages,2012,5000,5913
Administration,Lister Wages,2013,5000,
Administration,Lister Wages,2014,7500,
Administration,Clerical Mileage,2011,400,104.7
Administration,Clerical Mileage,2012,400,0
Administration,Clerical Mileage,2013,250,
Administration,Clerical Mileage,2014,250,
Administration,Office Supplies,2011,2000,2211.75
Administration,Office Supplies,2012,2000,1789
Administration,Office Supplies,2013,2300,
Administration,Office Supplies,2014,2300,
Administration,Equipment Repair,2011,250,1263.33
Administration,Equipment Repair,2012,250,0
Administration,Equipment Repair,2013,250,
Administration,Equipment Repair,2014,250,
Administration,Equipment Purchase,2011,2000,1157.42
Administration,Equipment Purchase,2012,1500,3860
Administration,Equipment Purchase,2013,2500,
Administration,Equipment Purchase,2014,2500,
Administration,Telephone,2011,2500,3165.02
Administration,Telephone,2012,4000,3491
Administration,Telephone,2013,3300,
Administration,Telephone,2014,3800,
Administration,Postage,2011,1800,3152.37
Administration,Postage,2012,1800,2170
Administration,Postage,2013,2000,
Administration,Postage,2014,3000,
Administration,Auditing,2011,3100,3250
Administration,Auditing,2012,3200,3375
Administration,Auditing,2013,3300,
Administration,Auditing,2014,3400,
Administration,Listing Mileage/Expenses,2011,2200,3320.93
Administration,Listing Mileage/Expenses,2012,2200,1764
Administration,Listing Mileage/Expenses,2013,2200,
Administration,Listing Mileage/Expenses,2014,2000,
Administration,Clerk's Office Seminars,2011,750,95
Administration,Clerk's Office Seminars,2012,750,721
Administration,Clerk's Office Seminars,2013,500,
Administration,Clerk's Office Seminars,2014,500,
Administration,Listing Mapping,2011,500,500
Administration,Listing Mapping,2012,2000,1828
Administration,Listing Mapping,2013,500,
Administration,Listing Mapping,2014,750,
Administration,Copier Lease,2011,2030,2167.6
Administration,Copier Lease,2012,2030,2150
Administration,Copier Lease,2013,2030,
Administration,Copier Lease,2014,2200,
Administration,Computer Maintenance,2011,0,0
Administration,Computer Maintenance,2012,2400,3328
Administration,Computer Maintenance,2013,2450,
Administration,Computer Maintenance,2014,5900,
Administration,Total Administration,2011,74784,77579.36
Administration,Total Administration,2012,78085,80621
Administration,Total Administration,2013,78277,
Administration,Total Administration,2014,90523,
Town Hall,Electricity,2011,1500,1759.99
Town Hall,Electricity,2012,1800,2004
Town Hall,Electricity,2013,1900,
Town Hall,Electricity,2014,2100,
Town Hall,Heat,2011,4000,3701.71
Town Hall,Heat,2012,4000,3956
Town Hall,Heat,2013,4000,
Town Hall,Heat,2014,4500,
Town Hall,Grounds,2011,2000,1120
Town Hall,Grounds,2012,2000,1539
Town Hall,Grounds,2013,1500,
Town Hall,Grounds,2014,1500,
Town Hall,Building Repairs,2011,6000,7718.94
Town Hall,Building Repairs,2012,5000,2399
Town Hall,Building Repairs,2013,5000,
Town Hall,Building Repairs,2014,5000,
Town Hall,Total Town Hall,2011,13500,14300.64
Town Hall,Total Town Hall,2012,12800,9898
Town Hall,Total Town Hall,2013,12400,
Town Hall,Total Town Hall,2014,13100,
Public Safety,Constable,2011,1500,917.79
Public Safety,Constable,2012,1500,254
Public Safety,Constable,2013,1500,
Public Safety,Constable,2014,1000,
Public Safety,Health Officer,2011,500,0
Public Safety,Health Officer,2012,500,0
Public Safety,Health Officer,2013,500,
Public Safety,Health Officer,2014,500,
Public Safety,Courses/Seminars,2011,100,0
Public Safety,Courses/Seminars,2012,100,0
Public Safety,Courses/Seminars,2013,100,
Public Safety,Courses/Seminars,2014,500,
Public Safety,Ambulance,2011,49034,49034
Public Safety,Ambulance,2012,51974,51974
Public Safety,Ambulance,2013,53851,
Public Safety,Ambulance,2014,55738,
Public Safety,Speed Enforcement,2011,1000,445.4
Public Safety,Speed Enforcement,2012,5000,1920
Public Safety,Speed Enforcement,2013,5000,
Public Safety,Speed Enforcement,2014,5000,
Public Safety,Dog Pound,2011,700,700
Public Safety,Dog Pound,2012,700,800
Public Safety,Dog Pound,2013,800,
Public Safety,Dog Pound,2014,800,
Public Safety,Total Public Safety,2011,52834,51097.19
Public Safety,Total Public Safety,2012,59774,54948
