section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2019,3434.0,3432.0
General Government,Wages: Selectboard,2020,3536.0,
General Government,Wages: Selectboard,2021,3642.0,
General Government,Wages: Selectboard Clerk,2019,20547.0,20894.87
General Government,Wages: Selectboard Clerk,2020,21382.0,
General Government,Wages: Selectboard Clerk,2021,22019.0,
General Government,Wages: Payroll Tax(SS&MED),2019,1834.0,1331.0
General Government,Wages: Payroll Tax(SS&MED),2020,2177.0,
General Government,Wages: Payroll Tax(SS&MED),2021,2242.0,
General Government,Wages: Retirement,2019,1130.0,1137.0
General Government,Wages: Retirement,2020,1229.0,
General Government,Wages: Retirement,2021,1321.0,
General Government,Insurance: Health,2019,5876.0,6595.0
General Government,Insurance: Health,2020,6768.0,
General Government,Insurance: Health,2021,7646.0,
General Government,Insurance: Property & Casuality,2019,9825.0,9692.0
General Government,Insurance: Property & Casuality,2020,10296.0,
General Government,Insurance: Property & Casuality,2021,11188.0,
General Government,Insurance: Workers Compensation,2019,386.0,577.0
General Government,Insurance: Workers Compensation,2020,1000.0,
General Government,Insurance: Workers Compensation,2021,750.0,
General Government,Insurance: Unemployment Comp,2019,154.0,45.0
General Government,Insurance: Unemployment Comp,2020,154.0,
General Government,Insurance: Unemployment Comp,2021,154.0,
General Government,Advertising/Printing,2019,1500.0,470.3
General Government,Advertising/Printing,2020,1250.0,
General Government,Advertising/Printing,2021,600.0,
General Government,Selectboard Courses,2019,0.0,0.0
General Government,Selectboard Courses,2020,200.0,
General Government,Selectboard Courses,2021,200.0,
General Government,Town Property Maintenance,2019,0.0,0.0
General Government,Town Property Maintenance,2020,2000.0,
General Government,Town Property Maintenance,2021,2600.0,
General Government,Welch Park,2019,1000.0,2057.0
General Government,Welch Park,2020,1000.0,
General Government,Welch Park,2021,1000.0,
General Government,Discretionary Fund,2019,5000.0,2411.0
General Government,Discretionary Fund,2020,8000.0,
General Government,Discretionary Fund,2021,8000.0,
General Government,Legal Fees,2019,4000.0,1149.0
General Government,Legal Fees,2020,3000.0,
General Government,Legal Fees,2021,2000.0,
General Government,Town Report,2019,2950.0,2628.0
General Government,Town Report,2020,3000.0,
General Government,Town Report,2021,2000.0,
General Government,VLCT Dues,2019,3017.0,3017.0
General Government,VLCT Dues,2020,3097.0,
General Government,VLCT Dues,2021,3224.0,
General Government,County Tax,2019,17401.0,17401.0
General Government,County Tax,2020,18149.0,
General Government,County Tax,2021,19000.0,
General Government,CV Solid Waste,2019,1757.0,1756.0
General Government,CV Solid Waste,2020,1757.0,
General Government,CV Solid Waste,2021,1738.0,
General Government,CV Reg Planning Comm,2019,1956.0,1956.0
General Government,CV Reg Planning Comm,2020,2077.0,
General Government,CV Reg Planning Comm,2021,2184.0,
General Government,Conservation Commission,2019,500.0,226.0
General Government,Conservation Commission,2020,500.0,
General Government,Conservation Commission,2021,500.0,
General Government,Elections,2019,2500.0,3970.0
General Government,Elections,2020,1500.0,
General Government,Elections,2021,2500.0,
General Government,Misc Expense,2019,0.0,149.36
General Government,Misc Expense,2020,500.0,
General Government,Misc Expense,2021,500.0,
General Government,Town Hall Building Fund,2019,0.0,0.0
General Government,Town Hall Building Fund,2020,10000.0,
General Government,Town Hall Building Fund,2021,10000.0,
General Government,What's Next Middlesex,2019,0.0,-638.8
General Government,What's Next Middlesex,2020,0.0,
General Government,What's Next Middlesex,2021,0.0,
General Government,Tax Abatements,2019,0.0,0.0
General Government,Tax Abatements,2020,0.0,
General Government,Tax Abatements,2021,0.0,
