section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2021,3642,3642.42
General Government,Wages: Selectboard,2022,3715,
General Government,Wages: Selectboard,2023,4566,
General Government,Wages: Selectboard Clerk,2021,22019,23355.06
General Government,Wages: Selectboard Clerk,2022,23328,
General Government,Wages: Selectboard Clerk,2023,28221,
General Government,Wages: Payroll Tax(SS&MED),2021,2242,1905.62
General Government,Wages: Payroll Tax(SS&MED),2022,2353,
General Government,Wages: Payroll Tax(SS&MED),2023,2508,
General Government,Wages: Retirement,2021,1321,
General Government,Wages: Retirement,2022,1458,
General Government,Wages: Retirement,2023,1905,
General Government,Insurance: Health,2021,7646,1880.0
General Government,Insurance: Health,2022,7872,
General Government,Insurance: Health,2023,9776,
General Government,Insurance: Property & Casuality,2021,11188,10064.13
General Government,Insurance: Property & Casuality,2022,8538,
General Government,Insurance: Property & Casuality,2023,8538,
General Government,Insurance: Workers Compensation,2021,750,346.93
General Government,Insurance: Workers Compensation,2022,863,
General Government,Insurance: Workers Compensation,2023,130,
General Government,Insurance: Unemployment Comp,2021,154,54.68
General Government,Insurance: Unemployment Comp,2022,181,
General Government,Insurance: Unemployment Comp,2023,116,
General Government,Advertising/Printing,2021,600,1335.55
General Government,Advertising/Printing,2022,500,
General Government,Advertising/Printing,2023,1000,
General Government,Selectboard Courses,2021,200,0.0
General Government,Selectboard Courses,2022,200,
General Government,Selectboard Courses,2023,0,
General Government,Town Email,2021,0,710.71
General Government,Town Email,2022,0,
General Government,Town Email,2023,1000,
General Government,Town Property Maintenance,2021,2600,47.99
General Government,Town Property Maintenance,2022,2500,
General Government,Town Property Maintenance,2023,1000,
General Government,Welch Park,2021,1000,227.7
General Government,Welch Park,2022,500,
General Government,Welch Park,2023,500,
General Government,Discretionary Fund,2021,8000,215.42
General Government,Discretionary Fund,2022,8000,
General Government,Discretionary Fund,2023,4028,
General Government,Legal Fees,2021,2000,2730.24
General Government,Legal Fees,2022,2000,
General Government,Legal Fees,2023,3000,
General Government,Town Report,2021,2000,2400.0
General Government,Town Report,2022,2800,
General Government,Town Report,2023,3000,
General Government,VLCT Dues,2021,3224,3224.0
General Government,VLCT Dues,2022,3224,
General Government,VLCT Dues,2023,3224,
General Government,County Tax,2021,19000,18047.0
General Government,County Tax,2022,18500,
General Government,County Tax,2023,19256,
General Government,CV Solid Waste,2021,1738,869.0
General Government,CV Solid Waste,2022,1724,
General Government,CV Solid Waste,2023,1724,
General Government,CV Reg Planning Comm,2021,2184,2183.75
General Government,CV Reg Planning Comm,2022,2207,
General Government,CV Reg Planning Comm,2023,2366,
General Government,Conservation Commission,2021,500,0.0
