section,line_item,fiscal_year,budgeted,actual
General Government,Wages: Selectboard,2025,4018.0,3881.35
General Government,Wages: Selectboard,2026,3500.0,
General Government,Wages: Selectboard,2027,3500.0,
General Government,Wages: Selectboard Minute Taker,2025,30814.0,23350.65
General Government,Wages: Selectboard Minute Taker,2026,7500.0,
General Government,Wages: Selectboard Minute Taker,2027,0.0,
General Government,Wages: Fema Project Manager,2025,0.0,24000.98
General Government,Wages: Fema Project Manager,2026,0.0,
General Government,Wages: Fema Project Manager,2027,0.0,
General Government,Wages: Fema Wages,2025,0.0,
General Government,Wages: Fema Wages,2026,9085.0,
General Government,Wages: Fema Wages,2027,0.0,
General Government,Wages: Town Administrator,2025,0.0,0.0
General Government,Wages: Town Administrator,2026,0.0,
General Government,Wages: Town Administrator,2027,72800.0,
General Government,General Gov: Payroll Tax(SS&MED),2025,2818.0,4486.05
General Government,General Gov: Payroll Tax(SS&MED),2026,1624.88,
General Government,General Gov: Payroll Tax(SS&MED),2027,6172.67,
General Government,General Gov:Insurance:  Life/LTD/AD&D,2027,444.0,
General Government,General Gov: Childcare Contribution (Act76),2025,0.0,0.0
General Government,General Gov: Childcare Contribution (Act76),2027,335.72,
General Government,General Gov: Retirement,2025,2157.0,1511.14
General Government,General Gov: Retirement,2026,543.75,
General Government,General Gov: Retirement,2027,5460.0,
General Government,General Gov Insurance: Health,2025,6273.0,4913.87
General Government,General Gov Insurance: Health,2026,7554.19,
General Government,General Gov Insurance: Health,2027,30696.74,
General Government,General Gov: Insurance: Dental,2027,924.0,
General Government,General Gov: Insurance:Vision,2027,104.0,
General Government,Insurance: Property & Casuality,2025,8538.0,10058.5
General Government,Insurance: Property & Casuality,2026,4259.2,
General Government,Insurance: Property & Casuality,2027,11636.11,
General Government,Insurance: Directors & Officers,2025,0.0,0.0
General Government,Insurance: Directors & Officers,2026,4818.86,
General Government,Insurance: Directors & Officers,2027,1891.96,
General Government,Insurance:  Workers Compensation,2025,370.0,1742.14
General Government,Insurance:  Workers Compensation,2026,59.25,
General Government,Insurance:  Workers Compensation,2027,575.12,
General Government,Insurance: Unemployment Comp,2025,70.0,60.35
General Government,Insurance: Unemployment Comp,2026,72.52,
General Government,Insurance: Unemployment Comp,2027,135.0,
General Government,Advertising/Printing,2025,1000.0,913.38
General Government,Advertising/Printing,2026,1600.0,
General Government,Advertising/Printing,2027,1600.0,
General Government,Selectboard Courses,2025,0.0,35.0
General Government,Selectboard Courses,2026,250.0,
General Government,Selectboard Courses,2027,250.0,
General Government,Town Email & Meeting Expense,2025,1350.0,2918.83
General Government,Town Email & Meeting Expense,2026,2500.0,
General Government,Town Email & Meeting Expense,2027,3000.0,
General Government,Town Property Maintenance,2025,175.0,29.8
General Government,Town Property Maintenance,2026,200.0,
General Government,Town Property Maintenance,2027,1050.0,
General Government,Welch Park,2025,0.0,785.42
General Government,Welch Park,2026,0.0,
General Government,Welch Park,2027,0.0,
General Government,Discretionary Fund,2025,4000.0,3979.0
General Government,Discretionary Fund,2026,4000.0,
General Government,Discretionary Fund,2027,4000.0,
General Government,Legal Fees,2025,5000.0,6447.5
General Government,Legal Fees,2026,7500.0,
General Government,Legal Fees,2027,30000.0,
General Government,Town Report,2025,4000.0,3172.0
General Government,Town Report,2026,4000.0,
General Government,Town Report,2027,4000.0,
General Government,VLCT Dues,2025,3500.0,3549.0
General Government,VLCT Dues,2026,3700.0,
General Government,VLCT Dues,2027,3734.0,
General Government,County Tax,2025,20573.0,19142.0
General Government,County Tax,2026,22630.3,
General Government,County Tax,2027,20270.0,
General Government,CV Solid Waste,2025,1800.0,1805.0
General Government,CV Solid Waste,2026,1900.0,
General Government,CV Solid Waste,2027,2340.06,
General Government,CV Reg Planning Comm,2025,2366.0,2366.07
General Government,CV Reg Planning Comm,2026,2455.02,
General Government,CV Reg Planning Comm,2027,2521.31,
General Government,Conservation Commission,2025,500.0,212.36
General Government,Conservation Commission,2026,500.0,
General Government,Conservation Commission,2027,500.0,
General Government,Elections,2025,2000.0,2599.12
General Government,Elections,2026,2000.0,
General Government,Elections,2027,3000.0,
General Government,Misc Expense,2025,250.0,227.11
General Government,Misc Expense,2026,300.0,
General Government,Misc Expense,2027,300.0,
General Government,Grant Matches,2025,2500.0,2358.5
General Government,Grant Matches,2026,3000.0,
General Government,Grant Matches,2027,3000.0,
General Government,Tax Abatements,2025,7000.0,10319.37
General Government,Tax Abatements,2026,5000.0,
General Government,Tax Abatements,2027,3000.0,
Administration,"Office: Wages (Clerk,Ass't Clerk,Finance)",2025,94396.0,106099.28
Administration,"Office: Wages (Clerk,Ass't Clerk,Finance)",2026,116350.69,
Administration,"Office: Wages (Clerk,Ass't Clerk,Finance)",2027,129726.6,
Administration,Delinquent Tax Collector: Wages,2025,2912.0,1649.24
Administration,Delinquent Tax Collector: Wages,2026,0.0,
Administration,Delinquent Tax Collector: Wages,2027,0.0,
Administration,ADMIN: Payroll Tax (SS&MED),2025,9389.0,9677.38
Administration,ADMIN: Payroll Tax (SS&MED),2026,13668.99,
Administration,ADMIN: Payroll Tax (SS&MED),2027,9924.09,
Administration,ADMIN: Unemployment,2025,175.0,87.56
Administration,ADMIN: Unemployment,2026,168.19,
Administration,ADMIN: Unemployment,2027,21.6,
Administration,ADMIN: Retirement,2025,5912.0,7610.64
Administration,ADMIN: Retirement,2026,8171.52,
Administration,ADMIN: Retirement,2027,8714.0,
Administration,ADMIN:Insurance:  Life/LTD/AD&D,2025,816.0,674.97
Administration,ADMIN:Insurance:  Life/LTD/AD&D,2026,816.0,
Administration,ADMIN:Insurance:  Life/LTD/AD&D,2027,840.0,
Administration,ADMIN: Insurance: Health Premium & HSA,2025,29276.0,32796.45
Administration,ADMIN: Insurance: Health Premium & HSA,2026,34348.44,
Administration,ADMIN: Insurance: Health Premium & HSA,2027,92090.21,
Administration,ADMIN: Dental & Vision,2027,3084.0,
Administration,ADMIN: Insurance: Workers Comp,2025,1504.0,383.82
Administration,ADMIN: Insurance: Workers Comp,2026,1410.22,
Administration,ADMIN: Insurance: Workers Comp,2027,1024.84,
Administration,ADMIN: Child Care Contribution Act 76,2025,0.0,603.86
Administration,ADMIN: Child Care Contribution Act 76,2027,570.8,
Administration,Office Supplies,2025,3600.0,3100.3
Administration,Office Supplies,2026,4000.0,
Administration,Office Supplies,2027,4000.0,
Administration,Equipment Repair,2025,1000.0,0.0
Administration,Equipment Repair,2026,1000.0,
Administration,Equipment Repair,2027,1000.0,
Administration,Equipment Purchase,2025,10000.0,0.0
Administration,Equipment Purchase,2026,13000.0,
Administration,Equipment Purchase,2027,4000.0,
Administration,Telephone & Internet,2025,5000.0,6142.97
Administration,Telephone & Internet,2026,5500.0,
Administration,Telephone & Internet,2027,6500.0,
Administration,Postage,2025,3500.0,3172.05
Administration,Postage,2026,4000.0,
Administration,Postage,2027,4000.0,
Administration,Auditing,2025,11000.0,16000.0
Administration,Auditing,2026,15000.0,
Administration,Auditing,2027,30000.0,
Administration,Clerical Mileage,2025,200.0,206.26
Administration,Clerical Mileage,2026,200.0,
Administration,Clerical Mileage,2027,250.0,
Administration,Clerk's / Courses & Training,2025,2000.0,381.57
Administration,Clerk's / Courses & Training,2026,3000.0,
Administration,Clerk's / Courses & Training,2027,1500.0,
Administration,Copier Lease,2025,1500.0,2018.38
Administration,Copier Lease,2026,2000.0,
Administration,Copier Lease,2027,2962.32,
Administration,Computer Maintenance,2025,40000.0,24646.89
Administration,Computer Maintenance,2026,20000.0,
Administration,Computer Maintenance,2027,20000.0,
Administration,Website Development & maintenance,2025,0.0,0.0
Administration,Website Development & maintenance,2026,10000.0,
Administration,Website Development & maintenance,2027,2900.0,
Administration,Consultant Fees /Support,2025,10500.0,0.0
Administration,Consultant Fees /Support,2026,0.0,
Administration,Consultant Fees /Support,2027,5986.0,
Administration,Listers: Wages,2025,18750.0,26521.4
Administration,Listers: Wages,2026,52610.88,
Administration,Listers: Wages,2027,46420.45,
Administration,LISTER: Payroll Tax (SS&MED),2025,0.0,0.0
Administration,LISTER: Payroll Tax (SS&MED),2026,0.0,
Administration,LISTER: Payroll Tax (SS&MED),2027,3551.16,
Administration,LISTER: Insurance: Workers Comp,2025,0.0,0.0
Administration,LISTER: Insurance: Workers Comp,2026,0.0,
Administration,LISTER: Insurance: Workers Comp,2027,366.72,
Administration,LISTER: Child Care Contribution Act 76,2025,0.0,0.0
Administration,LISTER: Child Care Contribution Act 76,2027,204.25,
Administration,Equipment & Office supplies purchases,2025,0.0,0.0
Administration,Equipment & Office supplies purchases,2026,0.0,
Administration,Equipment & Office supplies purchases,2027,4525.0,
Administration,Lister Computer expense & software,2025,1000.0,0.0
Administration,Lister Computer expense & software,2026,1000.0,
Administration,Lister Computer expense & software,2027,1500.0,
Administration,Postage,2025,0.0,
Administration,Postage,2026,0.0,
Administration,Postage,2027,150.0,
Administration,Listing Mileage/Expenses,2025,1000.0,1124.66
Administration,Listing Mileage/Expenses,2026,1000.0,
Administration,Listing Mileage/Expenses,2027,1000.0,
Administration,Clerk's /Listers Courses & Training,2025,0.0,0.0
Administration,Clerk's /Listers Courses & Training,2026,0.0,
Administration,Clerk's /Listers Courses & Training,2027,500.0,
Administration,Lister NEMRC Assessor Contract,2025,26500.0,26500.0
Administration,Lister NEMRC Assessor Contract,2026,20000.0,
Administration,Lister NEMRC Assessor Contract,2027,0.0,
Administration,Lister/ParcelMapping,2025,250.0,0.0
Administration,Lister/ParcelMapping,2026,2000.0,
Administration,Lister/ParcelMapping,2027,2000.0,
Town Hall,Electricity,2025,3500.0,3200.63
Town Hall,Electricity,2026,3500.0,
Town Hall,Electricity,2027,3500.0,
Town Hall,Heat,2025,3000.0,2122.27
Town Hall,Heat,2026,3000.0,
Town Hall,Heat,2027,3000.0,
Town Hall,Grounds,2025,1080.0,1543.0
Town Hall,Grounds,2026,1880.0,
Town Hall,Grounds,2027,1880.0,
Town Hall,Building Repairs,2025,3500.0,2100.33
Town Hall,Building Repairs,2026,0.0,
Town Hall,Building Repairs,2027,0.0,
Town Hall,Street Lights,2025,2200.0,2063.01
